Page Name,Disclaimer,Amount Spent,Number of Ads in Archive
International Rescue Committee,International Rescue Committee,520896,174
On the Basis of Sex,Focus Features,327904,139
Concealed Online,Concealed Online,180977,393
Care2,Care2,147857,3782
Sierra Club,Sierra Club,125682,449
The Wilderness Society,The Wilderness Society,104256,102
The Humane Society of the United States,The Humane Society of the United States,95486,28
Finance Watchdogs,Finance Watch Dogs,82145,343
Planned Parenthood,Planned Parenthood Federation of America,74002,207
Planned Parenthood Action,Planned Parenthood Action Fund.,68492,233
NRDC,NRDC,67139,593
Feeding America,Feeding America,65391,73
Sandy Hook Promise,Sandy Hook Promise,63355,371
Hefty,Hefty,61503,3
4ocean,"4Ocean, LLC",61500,702
World Wildlife Fund,World Wildlife Fund,57103,418
Mic,Mic,54321,12
PragerU,PragerU,53636,122
Heifer International,Heifer International,52384,650
USA for UNHCR,USA for UNHCR,51416,242
National Audubon Society,National Audubon Society,47874,98
Judicial Watch,Judicial Watch,47732,76
Oxfam,Oxfam America,47358,178
CARE,CARE,46712,443
Cory Booker,Cory Booker for Senate,45059,31
"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,40681,35
Global Financial Advisory,Global Financial Advisory,34874,35
Progress North Carolina Action,Progress North Carolina Action,34735,79
WomanUp,Woman Up,33994,45
Indivisible Guide,Indivisible Project,33541,423
International Rescue Committee,These ads ran without a disclaimer,33440,16
End Citizens United,End Citizens United,31852,76
Solar Energy Today,SOLAR ENERGY TODAY,31766,108
Donald J. Trump,"Donald J. Trump for President, Inc.",30725,286
Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),30038,182
Awareness Amongst Americans,Awareness Amongst Americans,29993,6
Stop the Corridor,"Stop the Corridor, PO Box 98, Westbrook ME 04098",29779,10
Community For Traditional Values,Community For Traditional Values,28692,14
FWD.us,FWD.us,28371,401
SeaWorld San Diego,SeaWorld Parks & Entertainment,27402,1
NowThis Her,NowThis,26268,10
Defend My America,Defend My America,26265,12
Elizabeth Warren,Elizabeth for MA,26259,154
Defenders of Wildlife,Defenders of Wildlife,25988,244
Amnesty International USA,Amnesty International USA,24881,300
FAIR,Federation for American Immigration Reform,23181,23
Upworthy,Good Media Group,22958,80
Operation Smile,Operation Smile,22445,142
ExxonMobil,ExxonMobil,22055,15
ATTN:,ATTN:,21115,8
American Humane,American Humane,20837,5
CRTV,CRTV,20342,367
U.S. PIRG,U.S. PIRG Education Fund,20000,31
Safeway,Safeway,19430,3
Tom Steyer,Need to Impeach,19404,199
Ocean Conservancy,Ocean Conservancy,19166,1651
A Case for Women,A Case for Women LLC,19005,24
Bank of America,Bank of America,18706,10
NARAL Pro-Choice America,NARAL Pro-Choice America,18650,144
Erase The Hate,"NBCUniversal Media, LLC",18178,95
Axios,Axios,17786,18
National Domestic Workers Alliance,National Domestic Workers Alliance,17655,670
Open Doors USA,Open Doors USA,17588,49
Save the Children US,Save the Children US,17554,28
Naked Turtle White Rum,Diageo,17111,50
Chad Benson Show,Chad Benson,16938,322
PATH,"PATH, a global non-profit organization.",16893,12
BOLD PAC,CHC BOLD PAC,16241,20
Retired Republicans,Agency Consulting LLC,16025,3
Michael Knowles,Daily Wire,16004,148
Cool Effect,Cool Effect,15986,10
Union Gospel Mission of Portland,Union Gospel Mission Portland,15963,21
Balance Our Tax Code,Balance Our Tax Code,15957,12
Denver Rescue Mission,Denver Rescue Mission,15497,24
RADIO.COM,Entercom Communications,15249,6
The Nature Conservancy,The Nature Conservancy,15154,29
National Park Foundation,National Park Foundation,15081,29
Dissent Pins,Dissent Pins,14926,94
Alliance Defending Freedom,Alliance Defending Freedom,14860,180
Catholic Relief Services,Catholic Relief Services,14751,146
Fight Back,Fight Back Fund,14406,11
Faces of Lawsuit Abuse,These ads ran without a disclaimer,14400,3
SEIU,SEIU,13962,16
Color Of Change,Color Of Change,13925,6
No Kid Hungry,No Kid Hungry,13694,261
Environmental Defense Fund,Environmental Defense Fund,13555,553
The Nib,The Nib,13429,173
United States Holocaust Memorial Museum,the United States Holocaust Memorial Museum,13330,108
The BL,The Beauty of Life,13258,106
Concealed Club,Concealed Club,13167,46
Family Protection Association,The Family Protection Association,13105,291
AARP Advocates,AARP,13011,2
Plan International USA,Plan International USA,13005,63
Investment Advisory Group,Investment Advisory Group,12998,28
iAmerica Action,SEIU on behalf of iAmerica Action,12981,4
45th President Donald J. Trump,OuterGoods LLC,12352,197
The BL Stories,The Beauty of Life,12187,88
Nuclear Matters,Nuclear Matters,12183,39
Teach For America,Teach For America,11972,44
Carolina Leadership Coalition,"Carolina Leadership Coalition, Inc. Not Authorized by Any Candidate.",11937,13
International Planned Parenthood Federation/Western Hemisphere Region,International Planned Parenthood Federation/Western Hemisphere Region,11922,16
National Geographic Society,National Geographic Society,11752,137
Center for Biological Diversity,Center for Biological Diversity,11698,34
ACTwireless,ACTwireless,11690,15
EZ Insure,"Benepath, Inc.",11575,4
Wounded Warrior Project,Wounded Warrior Project,11478,101
NowThis Her,Planned Parenthood,11444,4
Avocado Green Mattress,Avocado Green Mattress,11382,5
Learn Our History,Learn Our History,11376,68
Covenant House International,Covenant House International,11334,38
End Family Fire,End Family Fire with Facebook Ad Credits,11288,7
CARE Action,CARE,11103,115
Action Against Hunger USA,Action Against Hunger,11073,33
FCTRY,FCTRY,11060,15
World Food Program USA,World Food Program USA,11059,31
Wholesome Culture,Wholesome Culture,10998,117
American Medical Association (AMA),American Medical Association,10947,4
Home Professionals,Home Professionals,10837,408
